track_id,track_duration,track_genre,track_listens,split
2,168,Hip-Hop,Low,training
5,206,Hip-Hop,Very Low,training
10,161,Pop,Very High,training
140,253,Folk,Low,training
141,182,Folk,Very Low,training
148,138,Experimental,Low,training
182,228,Rock,Very High,validation
190,249,Folk,Very Low,training
193,254,Folk,Very Low,training
194,192,Folk,Very Low,training
197,68,Folk,Very Low,training
200,194,Folk,Very Low,training
204,324,Folk,Very Low,training
207,96,Folk,Very Low,training
210,184,Folk,Low,training
211,247,Folk,Low,training
212,230,Folk,Very Low,training
213,247,Pop,Very Low,training
255,182,Rock,High,training
256,202,Rock,Medium,training
424,76,Experimental,High,training
459,301,Rock,Very High,training
534,80,Folk,Very Low,training
540,309,Folk,Very Low,training
546,319,Folk,Very Low,training
574,267,Rock,Medium,training
602,445,Folk,Very Low,training
615,519,Experimental,Very Low,training
620,205,Folk,Very Low,training
621,161,Folk,Very Low,training
625,234,Folk,Very Low,training
666,235,International,Low,training
667,246,International,Medium,training
676,197,Hip-Hop,Low,training
690,290,Rock,Very High,validation
694,291,Hip-Hop,Very High,training
695,104,Hip-Hop,Medium,training
704,310,International,Medium,training
705,369,International,Medium,training
706,312,International,Low,training
707,330,International,Low,training
708,289,International,Very High,training
709,192,International,High,training
714,338,Folk,Very Low,training
715,283,Folk,Very Low,training
716,297,Folk,Low,training
718,128,Folk,High,training
777,90,Rock,High,training
814,146,Folk,Low,validation
821,200,Pop,Very Low,training
822,323,Pop,Very Low,training
825,83,Rock,Medium,training
853,137,International,Medium,training
890,297,Folk,Low,training
892,480,Folk,Very Low,training
897,275,Experimental,Low,training
993,86,Rock,High,training
995,298,Experimental,Medium,training
997,520,Experimental,Low,training
998,475,Experimental,Very Low,training
1039,169,Rock,High,training
1040,310,Rock,Medium,training
1066,234,Experimental,Very High,training
1069,110,Experimental,Very High,training
1075,62,Experimental,High,training
1082,187,International,High,validation
1083,472,Experimental,Low,training
1087,315,Rock,Very High,training
1102,327,Rock,Medium,training
1193,286,Folk,Low,training
1196,221,Folk,Very Low,training
1197,161,Folk,Very Low,training
1249,566,Experimental,Very Low,training
1259,208,Experimental,Medium,training
1270,149,Rock,High,training
1276,145,Experimental,Medium,training
1277,253,Experimental,Low,training
1278,592,Experimental,Medium,training
1417,232,Rock,Very High,training
1482,216,Electronic,Very High,training
1510,91,Experimental,Low,training
1544,370,Folk,Medium,training
1642,68,Pop,Very Low,validation
1644,146,Pop,Very Low,training
1649,139,Pop,Very Low,training
1661,127,Pop,Very Low,training
1663,200,Pop,Very Low,training
1666,282,Pop,Very Low,training
1673,250,Experimental,Very Low,training
1680,436,International,Low,training
1681,274,International,Very Low,validation
1682,354,International,Low,training
1683,312,International,Very Low,training
1684,230,International,High,training
1685,308,International,Very Low,training
1686,374,International,Very Low,training
1687,330,International,Very Low,training
1688,285,International,Very Low,training
1689,543,International,Very Low,training
1701,386,Folk,Very Low,training
1702,286,Folk,Very Low,training
1703,288,Folk,Medium,training
1704,435,Folk,Very Low,validation
1706,175,Rock,Medium,training
1720,269,Rock,High,training
1732,341,Experimental,Very Low,training
1733,276,Experimental,High,training
1736,275,Experimental,Very Low,training
1883,158,Rock,Medium,training
1891,303,Rock,High,training
1924,167,Folk,Very Low,training
1925,170,Folk,Very Low,training
1929,216,Experimental,High,training
2012,200,Experimental,Low,validation
2099,244,Pop,Very Low,training
3263,208,Folk,Very Low,training
3264,354,Folk,Very Low,training
3265,171,Folk,Very Low,training
3266,248,Folk,Very Low,training
3270,288,Folk,Low,training
3272,174,Folk,Low,training
3273,173,Folk,Low,training
3274,349,Folk,Medium,training
3492,286,Rock,Medium,training
3532,170,Pop,Medium,training
3533,242,Pop,Very Low,training
3534,130,Pop,Low,training
3535,208,Pop,Very Low,training
3537,247,Pop,Very Low,training
3538,210,Pop,Very Low,training
3573,235,Electronic,Very High,training
3598,139,Folk,Very Low,validation
3624,184,Rock,Medium,training
3707,341,Folk,Low,training
3708,245,Folk,Low,training
3720,240,Rock,Very High,training
3721,318,Rock,High,training
3722,202,Rock,Very High,training
3725,289,Rock,High,training
3761,257,Rock,Very High,training
3762,541,Rock,Very High,training
3763,180,Rock,Very High,training
3766,282,Rock,Medium,training
3775,594,International,High,training
3776,363,International,Low,validation
3777,445,International,Medium,training
3778,258,International,High,training
3779,423,International,High,training
3832,419,Folk,High,training
3833,316,Rock,Medium,training
3840,489,Rock,High,training
3880,258,Folk,High,validation
3895,467,International,Very Low,training
3896,374,International,Low,validation
3905,508,Folk,Low,training
3906,264,Folk,Low,training
3909,410,Folk,Very Low,training
3910,361,Folk,Low,training
3911,158,Folk,Low,training
3912,218,Folk,Very Low,training
3920,194,Folk,Low,training
3921,157,Folk,Low,training
3950,150,Rock,Medium,training
4013,353,Folk,Very Low,training
4017,403,Folk,Very Low,training
4022,79,Rock,High,training
4037,315,Folk,Very High,training
4066,255,Folk,Very Low,training
4067,273,Folk,Very Low,training
4068,341,Folk,Very Low,training
4070,259,International,Very High,validation
4072,148,International,Medium,training
4073,197,International,Medium,training
4074,245,International,Low,training
4075,268,International,Low,training
4076,216,International,Medium,training
4077,195,International,Low,training
4078,205,International,Low,training
4079,296,International,Low,training
4080,236,International,Low,training
4092,159,International,Low,training
4093,200,International,Medium,validation
4094,157,International,Low,training
4095,222,International,Low,training
4096,195,International,Low,training
4097,183,International,Low,training
4098,141,International,Low,training
4099,205,International,Low,training
4100,184,International,High,training
4101,127,International,Medium,training
4102,201,International,Medium,training
4103,261,International,High,training
4108,132,Rock,Very High,training
4232,393,International,High,training
4233,307,International,Low,training
4234,317,International,Medium,validation
4235,557,International,Low,training
4236,307,International,Low,training
4239,294,International,Very High,training
4450,241,Folk,Very Low,training
4507,237,International,High,training
4508,277,International,Medium,training
4509,215,International,Medium,training
4510,238,International,Medium,training
4511,313,International,High,training
4519,117,Electronic,Very High,training
4520,199,Electronic,Very High,training
4521,184,Electronic,Very High,training
4682,337,Hip-Hop,High,training
4684,392,Hip-Hop,Low,training
4685,332,Hip-Hop,Medium,validation
4688,376,Hip-Hop,Very Low,training
4777,183,Rock,Very High,training
4778,121,Rock,Very High,training
4779,149,Rock,Medium,training
4780,76,Rock,High,training
4781,131,Rock,High,training
4782,165,Rock,Medium,training
4784,124,Rock,Very High,training
4785,151,Rock,Medium,training
4786,120,Rock,Medium,training
4788,159,Rock,High,training
4799,242,Rock,Medium,training
4835,243,Rock,Medium,training
4836,214,Rock,Medium,training
4846,345,International,Medium,validation
4848,211,International,Medium,training
4849,283,International,High,training
5006,121,Rock,Very High,training
5156,324,Folk,Low,training
5157,298,Folk,Low,training
5158,226,Folk,Medium,training
5159,286,Folk,Low,training
5169,329,Folk,Low,training
5170,356,Folk,Low,training
5171,199,Folk,Medium,validation
5191,95,Pop,Very Low,training
5264,431,Hip-Hop,Low,training
5376,216,Folk,Very Low,training
5381,199,Folk,Very Low,training
5521,178,Experimental,Very Low,validation
5879,321,Folk,Very Low,training
5940,184,Folk,Very Low,training
6329,225,International,Very Low,training
6330,201,International,Low,training
6331,337,International,Low,training
6332,344,International,Very Low,training
6333,277,International,Low,validation
6342,290,International,High,training
6354,214,International,Very Low,training
6357,214,International,Very Low,training
6360,291,International,Very High,training
6363,350,International,Low,training
6366,340,International,High,training
6367,236,International,Very Low,validation
6368,196,International,Very Low,training
6370,342,International,Very Low,validation
6372,274,International,Low,validation
6373,307,International,Medium,training
6376,289,International,Very Low,training
6379,303,International,Low,training
6380,180,International,Low,training
6382,390,International,Very Low,training
6383,312,International,High,training
6385,221,International,Medium,training
6387,211,International,Very Low,training
6390,385,International,Very Low,training
6393,331,International,Medium,training
6406,157,Folk,Low,training
6407,429,Folk,Very Low,training
6440,138,Hip-Hop,Very High,training
6442,80,Hip-Hop,Medium,training
6443,159,Hip-Hop,Medium,training
6448,100,Hip-Hop,Medium,training
6459,415,International,Medium,validation
6463,198,Folk,Very Low,training
6467,186,Folk,Very Low,training
6469,308,International,High,training
6605,109,Hip-Hop,Low,training
6606,153,Hip-Hop,Low,training
6607,124,Hip-Hop,Low,validation
6609,78,Hip-Hop,Low,training
6610,109,Hip-Hop,Very Low,validation
6611,100,Hip-Hop,Low,training
6674,240,Experimental,Medium,training
6675,180,Experimental,Low,training
6677,237,Experimental,Low,training
6679,300,Experimental,Medium,training
6680,70,Experimental,Low,training
6684,300,Experimental,Medium,validation
6762,314,Folk,Low,training
6776,281,Rock,Medium,training
6778,301,Rock,Medium,training
6782,228,Folk,Low,training
6783,195,Folk,Very Low,training
6788,268,Rock,Medium,training
6802,182,International,High,training
6803,280,International,Medium,training
6854,159,Folk,Very High,training
6855,190,Folk,Very High,training
6856,223,Folk,High,validation
6857,475,Folk,Low,training
7011,111,Electronic,Very High,validation
7373,126,Experimental,High,training
7374,112,Experimental,High,training
7375,154,Experimental,Medium,training
7376,68,Experimental,Low,training
7377,66,Experimental,Medium,training
7378,128,Experimental,Low,training
7379,102,Experimental,Medium,training
7381,108,Experimental,Very Low,training
7383,148,Experimental,Low,training
7385,83,Experimental,Very High,validation
7386,163,Experimental,Very Low,training
7388,163,Experimental,Very Low,training
7391,163,Experimental,Very High,training
7481,124,Hip-Hop,Low,training
7482,108,Hip-Hop,Low,training
7483,170,Hip-Hop,Low,training
7487,183,Hip-Hop,Low,validation
7490,308,Hip-Hop,Low,training
7491,265,Hip-Hop,Low,training
7492,254,Hip-Hop,Medium,training
7495,247,Rock,Medium,validation
7526,183,Pop,Low,training
7527,168,Pop,Very Low,training
7528,257,Pop,Low,training
7529,130,Pop,Low,validation
7548,146,Experimental,Very Low,training
7554,314,Experimental,Very High,training
7709,191,Folk,Low,training
7710,158,Folk,Very Low,validation
7711,288,Folk,Very Low,training
7712,234,Folk,Very Low,training
7713,187,Folk,Very Low,training
7872,224,Rock,Medium,training
8056,151,Rock,Low,training
8208,498,Rock,High,training
8259,179,Folk,Very Low,training
8261,286,Folk,Very Low,training
8357,366,Experimental,Very Low,training
8363,84,Experimental,Low,training
8372,95,Experimental,Low,training
8416,124,Experimental,Low,training
9152,213,Experimental,Low,training
9155,351,Experimental,Very Low,training
9307,79,Experimental,Very Low,training
9476,382,Experimental,Low,validation
9477,241,Experimental,High,training
9491,123,Rock,Medium,training
9505,308,Experimental,Very Low,training
9511,154,Rock,Very High,training
9512,305,International,High,training
9513,478,Rock,Very High,training
9550,304,Rock,High,training
9555,334,Rock,Medium,training
9557,297,Rock,High,training
9559,288,Rock,High,training
9560,256,Rock,Medium,training
9678,185,Experimental,Low,training
9846,300,Experimental,Very Low,training
9887,215,Folk,Low,training
9888,508,Folk,High,training
9918,231,Experimental,Low,training
9962,168,Rock,Medium,training
10186,295,International,Low,training
10192,360,Hip-Hop,Medium,training
10250,76,Instrumental,Very High,training
10374,318,Experimental,Low,validation
10375,131,Experimental,Low,training
10376,166,Experimental,Very Low,validation
10377,355,Experimental,High,training
10381,268,Folk,Low,training
10383,528,Folk,Low,training
10384,326,Folk,Very Low,training
10385,121,Folk,Very Low,training
10386,440,Folk,Very Low,training
10387,278,Folk,Very Low,training
10388,255,Folk,Very Low,training
10389,137,Folk,Very Low,training
10435,144,Experimental,Very Low,training
10438,85,Folk,Very Low,training
10439,296,Folk,Very Low,training
10440,144,Folk,Very Low,training
10441,265,Folk,Very Low,training
10442,315,Folk,Very Low,training
10443,164,Folk,Very Low,training
10447,344,Folk,Very Low,training
10458,371,Folk,Very Low,validation
10480,431,Folk,Very Low,training
10481,253,Folk,Very Low,training
10485,424,Folk,Very Low,training
10527,265,Experimental,Very Low,training
10535,77,Experimental,Very Low,training
10541,68,Experimental,Medium,training
10575,362,Folk,Low,training
10577,250,Folk,Low,training
10668,85,Rock,Very High,training
10669,236,Rock,Very High,training
10670,229,Rock,High,training
10671,259,Rock,Very High,training
10672,285,Rock,High,validation
10673,295,Rock,Medium,training
10674,209,Rock,High,training
10675,453,Rock,Medium,training
10676,277,Rock,Medium,training
10677,299,Rock,High,training
10679,348,Folk,Very Low,training
10682,429,Folk,Very Low,training
10684,434,Folk,Very Low,training
10695,110,Hip-Hop,Very High,training
10696,109,Hip-Hop,Very High,training
10697,235,Hip-Hop,Very High,validation
10698,172,Hip-Hop,Very High,validation
10699,114,Hip-Hop,Very High,training
10805,232,Pop,Very High,training
10806,143,Pop,Very High,training
10807,207,Pop,Very High,training
10808,191,Pop,Very High,training
10809,212,Pop,Very High,training
10983,314,Experimental,Low,training
10992,362,Folk,Low,training
10993,321,Folk,Low,validation
11019,127,Experimental,Very High,training
11020,141,Experimental,Very High,training
11059,443,Folk,Low,validation
11198,201,Pop,Low,validation
11199,191,Pop,Low,validation
11200,315,Pop,Low,validation
11204,430,Hip-Hop,High,training
11206,171,Electronic,High,training
11234,240,Experimental,Low,training
11237,335,Experimental,Low,training
11239,280,Experimental,Very Low,training
11242,357,Experimental,Low,training
11261,224,Pop,Very Low,training
11264,208,Rock,Very High,training
11268,169,Rock,Very High,training
11298,141,Hip-Hop,Very High,training
11299,189,Hip-Hop,Very High,training
11333,159,Experimental,Very Low,training
11334,90,Experimental,Very Low,validation
11503,506,Folk,Very Low,training
11504,189,Folk,Very Low,training
11505,322,Folk,Very Low,training
11508,430,Folk,Very Low,training
11544,306,Experimental,Very Low,validation
11671,175,International,Low,training
11672,176,International,Very Low,training
11673,158,International,Very Low,training
11674,197,International,Very Low,validation
11675,140,International,Very Low,training
11677,198,International,Very Low,training
11679,215,International,Very Low,training
11681,286,International,Very Low,training
11682,139,International,Very Low,training
11683,288,International,Low,training
11764,133,Hip-Hop,Very High,training
11765,145,Hip-Hop,Low,training
11767,127,Hip-Hop,Medium,training
11768,83,Hip-Hop,Low,training
11769,110,Hip-Hop,Medium,training
11770,146,Hip-Hop,Medium,training
11771,93,Hip-Hop,Very High,training
11772,153,Hip-Hop,Low,validation
11773,111,Hip-Hop,Very High,training
11774,159,Hip-Hop,Medium,training
11775,171,Hip-Hop,Medium,training
11776,156,Hip-Hop,Low,training
11780,125,Hip-Hop,Low,training
11781,99,Hip-Hop,Medium,training
11782,118,Hip-Hop,High,validation
11783,107,Hip-Hop,Low,validation
11784,83,Hip-Hop,Low,training
